Target			2				
StepLimit			0				
TimeLimit			90				
ColorCount			6				
Nut1Count			3				
Nut2Count			3				
NutInitCount			1				
NutMaxCount			3				
NutMinCount			0				
NutStep			10				
PlusInitCount			1				
PlusMaxCount			3				
PlusStartTime			0				
PlusStep			10				
Seed			0				
NewFormat			1				
StarScore			45000,55000,65000,				
GridDataArray			9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,65,48,65,48,65,48,65,48,65,144,65,144,65,144,65,144,65,144,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,				
PortalArray							
