Target			2				
StepLimit			0				
TimeLimit			120				
ColorCount			6				
Nut1Count			0				
Nut2Count			0				
NutInitCount			0				
NutMaxCount			0				
NutStep			0				
PlusInitCount			0				
PlusMaxCount			3				
PlusStartTime			0				
PlusStep			10				
Seed			0				
NewFormat			1				
StarScore			23000,28000,32000,				
GridDataArray			0,0,0,0,9,0,0,0,0,0,0,9,9,1,9,9,0,0,9,9,1,1,48,1,1,9,9,1,1,48,48,48,48,48,1,1,1,1,48,48,48,48,48,1,1,1,1,48,48,48,48,48,1,1,1,1,1,48,48,48,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,				
PortalArray							
