Target			2				
StepLimit			0				
TimeLimit			60				
ColorCount			6				
Nut1Count			3				
Nut2Count			3				
NutInitCount			1				
NutMaxCount			3				
NutStep			10				
PlusInitCount			1				
PlusMaxCount			3				
PlusStartTime			0				
PlusStep			10				
Seed			0				
NewFormat			1				
StarScore			5000,10000,15000,				
GridDataArray			9,9,9,9,0,2569,2569,2569,2569,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,48,48,48,48,48,48,48,48,1680,1680,1680,1680,0,144,144,144,144,				
PortalArray			0,8,5,0,1,1,8,6,0,1,2,8,7,0,1,3,8,8,0,1,				
