Target			2				
StepLimit			5				
TimeLimit			0				
ColorCount			6				
Nut1Count			3				
Nut2Count			3				
NutInitCount			0				
NutMaxCount			0				
NutMinCount			0				
NutStep			0				
PlusInitCount			0				
PlusMaxCount			0				
PlusStartTime			0				
PlusStepMin			5				
PlusStepMax			10				
Seed			537				
NewFormat			1				
StarScore			3000,4000,5000,				
CollectColors			0,0,0,				
CollectSpecial			0,0,0,				
CollectCount			0,0,0,				
GridDataArray			0,0,9,9,9,9,9,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,				
PortalArray							
SpecialArray							
