Target			2				
StepLimit			0				
TimeLimit			90				
ColorCount			7				
Nut1Count			3				
Nut2Count			3				
NutInitCount			1				
NutMaxCount			3				
NutStep			10				
PlusInitCount			1				
PlusMaxCount			3				
PlusStartTime			0				
PlusStep			10				
Seed			0				
NewFormat			1				
StarScore			5000,10000,15000,				
GridDataArray			152,56,9,9,9,9,9,56,152,144,48,1,1,1,1,1,48,144,144,48,1,1,1,1,1,48,144,144,48,1,1,1,1,1,48,144,144,48,1,1,1,1,1,48,144,144,48,1,1,1,1,1,48,144,144,48,1,1,1,1,1,48,144,144,48,48,48,48,48,48,48,144,144,144,144,144,144,144,144,144,144,				
PortalArray							
