Target			0				
StepLimit			60				
TimeLimit			0				
ColorCount			7				
Nut1Count			3				
Nut2Count			3				
NutInitCount			1				
NutMaxCount			3				
NutStep			10				
PlusInitCount			0				
PlusMaxCount			0				
PlusStartTime			0				
PlusStep			0				
Seed			0				
NewFormat			1				
StarScore			57000,73000,90000,				
GridDataArray			1547,13,13,13,1547,13,13,13,1547,0,5,5,5,0,5,5,5,0,2563,5,5,5,2563,5,5,5,2563,5,5,5,5,0,5,5,5,5,5,5,5,5,0,5,5,5,5,5,4,5,5,0,5,5,5,5,1539,4,5,5,1539,5,5,5,1539,0,4,5,5,0,5,5,5,0,2563,5,5,5,2563,5,5,5,2563,				
PortalArray			8,0,8,2,0,8,6,8,8,0,4,0,4,2,0,4,6,4,8,0,0,0,0,2,0,0,6,0,8,0,				
