Target			1				
StepLimit			50				
TimeLimit			0				
ColorCount			7				
Nut1Count			1				
Nut2Count			2				
NutInitCount			1				
NutMaxCount			3				
NutMinCount			1				
NutStep			15				
PlusInitCount			0				
PlusMaxCount			0				
PlusStartTime			0				
PlusStepMin			5				
PlusStepMax			10				
Seed			0				
NewFormat			1				
StarScore			24000,35000,46000,				
CollectColors			0,0,0,				
CollectSpecial			0,0,0,				
CollectCount			0,0,0,				
GridDataArray			9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,65,1,1,1,1,1,1,1,65,1601,65,65,1,1,1,65,65,1601,0,1601,1601,65,65,65,1601,1601,0,2561,0,0,1601,1601,1601,0,0,2561,1,2561,2561,0,0,0,2561,2561,1,1,1,1,2561,2561,2561,1,1,1,257,257,257,257,257,257,257,257,257,				
PortalArray			8,3,8,5,0,7,4,7,6,0,6,4,6,6,0,5,5,5,7,0,4,5,4,7,0,3,5,3,7,0,2,4,2,6,0,1,4,1,6,0,0,3,0,5,0,				
SpecialArray							
