Target			0				
StepLimit			35				
TimeLimit			0				
ColorCount			7				
Nut1Count			3				
Nut2Count			1				
NutInitCount			1				
NutMaxCount			3				
NutStep			3				
PlusInitCount			0				
PlusMaxCount			0				
PlusStartTime			0				
PlusStep			0				
Seed			0				
NewFormat			1				
StarScore			10000,25000,38000,				
GridDataArray			9,9,9,9,9,9,9,0,0,1,3,3,1,1,1,1,9,9,1537,3,3,1539,3,1539,3,1,1,0,1,3,0,3,0,3,1,1537,2561,1,3,3587,3,3587,3,1,0,1,1,3,0,3,0,3,1,2561,1,1,1,2563,3,2563,3,3,1,0,1,1,1,1,3,1,3,1,0,0,0,1,0,1,0,1,0,				
PortalArray			0,2,0,4,0,3,2,3,4,0,5,2,5,4,0,8,3,8,5,0,3,4,3,6,0,5,4,5,6,0,				
