Target			0				
StepLimit			45				
TimeLimit			0				
ColorCount			6				
Nut1Count			3				
Nut2Count			3				
NutInitCount			1				
NutMaxCount			3				
NutMinCount			0				
NutStep			10				
PlusInitCount			1				
PlusMaxCount			3				
PlusStartTime			0				
PlusStep			10				
Seed			0				
NewFormat			1				
StarScore			41500,53496,65462,				
GridDataArray			9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1537,1537,1537,1537,1537,1537,1537,1537,1537,0,0,0,0,0,0,0,0,0,2706,2627,2627,2627,2706,2627,2627,2627,2706,67,67,146,67,67,67,146,67,67,146,67,67,67,146,67,67,67,146,67,67,146,67,67,67,146,67,67,				
PortalArray			0,3,0,5,0,1,3,1,5,0,2,3,2,5,0,3,3,3,5,0,4,3,4,5,0,5,3,5,5,0,6,3,6,5,0,7,3,7,5,0,8,3,8,5,0,				
