Target			0				
StepLimit			50				
TimeLimit			0				
ColorCount			5				
Nut1Count			3				
Nut2Count			3				
NutInitCount			1				
NutMaxCount			3				
NutMinCount			0				
NutStep			10				
PlusInitCount			1				
PlusMaxCount			3				
PlusStartTime			0				
PlusStep			10				
Seed			0				
NewFormat			1				
StarScore			30000,43000,56000,				
GridDataArray			1545,9,9,9,9,0,0,0,0,0,1537,1537,1,1,9,9,0,0,13,0,0,1537,1537,1,1,9,9,0,5,5,0,0,1537,1537,1,1,2561,0,0,5,5,0,0,1537,1537,1,2561,2561,0,0,5,69,0,0,1,1,1,2561,2561,0,0,148,148,0,1,1,1,1,2561,2561,0,0,0,0,0,1,1,1,1,2561,2561,				
PortalArray			0,0,0,4,1,1,1,1,5,1,2,1,2,5,1,3,2,3,6,1,4,2,4,6,1,5,3,5,7,1,6,3,6,7,1,7,4,7,8,1,8,4,8,8,1,				
