Target			1				
StepLimit			20				
TimeLimit			0				
ColorCount			5				
Nut1Count			1				
Nut2Count			0				
NutInitCount			1				
NutMaxCount			3				
NutMinCount			1				
NutStep			10				
PlusInitCount			1				
PlusMaxCount			3				
PlusStartTime			0				
PlusStepMin			5				
PlusStepMax			10				
Seed			405				
NewFormat			1				
StarScore			46000,54000,62000,				
CollectColors			0,0,0,				
CollectSpecial			0,0,0,				
CollectCount			0,0,0,				
GridDataArray			9,73,56,56,56,8216,8216,73,8216,65,8208,48,1,1,48,48,8208,65,8208,8208,48,1,48,1,48,8208,8208,8208,65,8208,48,8208,48,8208,65,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,1,8208,8208,8208,8208,8208,8208,8208,8208,8208,65,65,65,65,65,65,65,65,65,321,321,321,321,321,321,321,321,321,				
PortalArray							
SpecialArray							
