Target			2				
StepLimit			7				
TimeLimit			0				
ColorCount			5				
Nut1Count			0				
Nut2Count			0				
NutInitCount			0				
NutMaxCount			0				
NutMinCount			0				
NutStep			0				
PlusInitCount			0				
PlusMaxCount			0				
PlusStartTime			0				
PlusStepMin			5				
PlusStepMax			10				
Seed			571				
NewFormat			1				
StarScore			600,900,1200,				
CollectColors			0,0,0,				
CollectSpecial			0,0,0,				
CollectCount			0,0,0,				
GridDataArray			0,0,0,0,9,0,0,0,0,0,0,9,9,1,9,9,0,0,0,9,1,1,1,1,1,9,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,				
PortalArray							
SpecialArray							
