Target			2				
StepLimit			7				
TimeLimit			0				
ColorCount			6				
Nut1Count			3				
Nut2Count			3				
NutInitCount			0				
NutMaxCount			0				
NutMinCount			0				
NutStep			0				
PlusInitCount			0				
PlusMaxCount			0				
PlusStartTime			0				
PlusStep			0				
Seed			973				
NewFormat			1				
StarScore			1000,1500,1700,				
GridDataArray			0,9,9,9,9,9,9,9,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,				
PortalArray							
SpecialArray			2,5,4,				
