Target			0				
StepLimit			30				
TimeLimit			0				
ColorCount			6				
Nut1Count			3				
Nut2Count			3				
NutInitCount			1				
NutMaxCount			3				
NutMinCount			0				
NutStep			10				
PlusInitCount			1				
PlusMaxCount			3				
PlusStartTime			0				
PlusStep			10				
Seed			0				
NewFormat			1				
StarScore			46000,55000,65000,				
GridDataArray			13,13,13,13,13,13,13,13,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1541,1541,1541,1541,1541,1541,1541,1541,1541,0,0,0,0,0,0,0,0,0,2563,2563,2563,2563,2563,2563,2563,2563,2563,				
PortalArray			0,6,0,8,0,1,6,1,8,0,2,6,2,8,0,3,6,3,8,0,4,6,4,8,0,5,6,5,8,0,6,6,6,8,0,7,6,7,8,0,8,6,8,8,0,				
