Target			0				
StepLimit			35				
TimeLimit			0				
ColorCount			6				
Nut1Count			3				
Nut2Count			3				
NutInitCount			1				
NutMaxCount			3				
NutMinCount			0				
NutStep			10				
PlusInitCount			1				
PlusMaxCount			3				
PlusStartTime			0				
PlusStep			10				
Seed			0				
NewFormat			1				
StarScore			23000,33000,42000,				
GridDataArray			0,0,0,0,9,9,9,9,9,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1609,1609,1609,0,1,1,1,1,1,0,0,0,0,1,1,1537,1537,1537,18,18,2578,0,3,0,0,0,0,18,18,3,3,3,0,0,0,0,3,3,3,3,3,0,2561,2561,2561,3,3,3,3,3,0,1,1,3,				
PortalArray			0,3,0,5,0,1,3,1,5,0,2,3,2,5,0,6,4,6,7,0,7,4,7,7,0,8,4,8,7,0,				
